start_date,end_date,label,name,timing,type,year_start,month_start,day_start,year_end,month_end,day_end,ENSO event,ENSO strength
1999-05-28,1999-08-29,pre_control,control_h,pre,3 month,1999,5,28,1999,8,29,la nina,strong
1999-08-04,1999-08-09,control,control_h,control,3 month,1999,8,4,1999,8,9,la nina,strong
1999-08-09,1999-11-09,post_control,control_h,post,3 month,1999,8,9,1999,11,9,la nina,strong
1999-08-14,1999-08-22,control,control_h,control,3 month,1999,8,14,1999,8,22,la nina,strong
1999-08-22,1999-11-22,post_control,control_h,post,3 month,1999,8,22,1999,11,22,la nina,strong
1999-08-29,1999-09-10,control,control_h,control,3 month,1999,8,29,1999,9,10,la nina,strong
1999-09-10,1999-12-10,post_control,control_h,post,3 month,1999,9,10,1999,12,10,la nina,strong
2000-05-12,2000-08-12,pre_control,control_h,pre,3 month,2000,5,12,2000,8,12,la nina,strong
2000-06-14,2000-09-14,pre_control,control_h,pre,3 month,2000,6,14,2000,9,14,la nina,strong
2000-08-12,2000-08-20,control,control_h,control,3 month,2000,8,12,2000,8,20,la nina,strong
2000-08-20,2000-11-20,post_control,control_h,post,3 month,2000,8,20,2000,11,20,la nina,strong
2000-09-14,2000-09-27,control,control_h,control,3 month,2000,9,14,2000,9,27,la nina,strong
2000-09-27,2000-12-27,post_control,control_h,post,3 month,2000,9,27,2000,12,27,la nina,strong
2000-12-05,2001-06-05,pre_ts,allison,pre,6 month,2000,12,5,2001,6,5,la nina,strong
2001-03-05,2001-06-05,pre_ts,allison,pre,3 month,2001,3,5,2001,6,5,la nina,weak
2001-06-05,2001-06-20,tropical_storm,allison,during,tropical storm,2001,6,5,2001,6,20,la nina,weak
2001-06-05,2001-06-20,tropical_storm,allison,tropical storm,3 month,2001,6,5,2001,6,20,la nina,weak
2001-06-20,2001-09-20,post_ts,allison,post,3 month,2001,6,20,2001,9,20,la nina,weak
2001-06-20,2002-12-20,post_ts,allison,post,6 month,2001,6,20,2002,12,20,la nina,weak
2002-02-04,2002-08-04,pre_ts,bertha,pre,6 month,2002,2,4,2002,8,4,el nino,moderate
2002-03-12,2002-09-12,pre_ts,hanna,pre,6 month,2002,3,12,2002,9,12,el nino,moderate
2002-03-14,2002-09-14,pre_3,isidore,pre,6 month,2002,3,14,2002,9,14,el nino,moderate
2002-03-21,2002-09-21,pre_4,lili,pre,6 month,2002,3,21,2002,9,21,el nino,moderate
2002-05-04,2002-08-04,pre_ts,bertha,pre,3 month,2002,5,4,2002,8,4,el nino,moderate
2002-06-12,2002-09-12,pre_ts,hanna,pre,3 month,2002,6,12,2002,9,12,el nino,moderate
2002-06-14,2002-09-14,pre_3,isidore,pre,3 month,2002,6,14,2002,9,14,el nino,moderate
2002-06-21,2002-09-21,pre_4,lili,pre,3 month,2002,6,21,2002,9,21,el nino,moderate
2002-08-04,2002-08-09,tropical_storm,bertha,during,tropical storm,2002,8,4,2002,8,9,el nino,moderate
2002-08-04,2002-08-09,tropical_storm,bertha,tropical storm,3 month,2002,8,4,2002,8,9,el nino,moderate
2002-08-09,2002-11-09,post_ts,bertha,post,3 month,2002,8,9,2002,11,9,el nino,moderate
2002-08-09,2003-02-09,post_ts,bertha,post,6 month,2002,8,9,2003,2,9,el nino,moderate
2002-09-12,2002-09-15,tropical_storm,hanna,during,tropical storm,2002,9,12,2002,9,15,el nino,moderate
2002-09-12,2002-09-15,tropical_storm,hanna,tropical storm,3 month,2002,9,12,2002,9,15,el nino,moderate
2002-09-14,2002-09-27,hurricane_3,isidore,during,hurricane,2002,9,14,2002,9,27,el nino,moderate
2002-09-14,2002-09-27,hurricane_3,isidore,hurricane,3 month,2002,9,14,2002,9,27,el nino,moderate
2002-09-15,2002-12-15,post_ts,hanna,post,3 month,2002,9,15,2002,12,15,el nino,moderate
2002-09-15,2003-03-15,post_ts,hanna,post,6 month,2002,9,15,2003,3,15,el nino,moderate
2002-09-21,2002-10-04,hurricane_4,lili,during,hurricane,2002,9,21,2002,10,4,el nino,moderate
2002-09-21,2002-10-04,hurricane_4,lili,hurricane,3 month,2002,9,21,2002,10,4,el nino,moderate
2002-09-27,2002-12-27,post_3,isidore,post,3 month,2002,9,27,2002,12,27,el nino,moderate
