location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Rio Grande,45.3,d_19600901,44.4,33.6,16.1,8.8,3,0,10.3,6.2,2.5,0.7,0.1
Rio Grande,49.7,d_19601001,33.4,21.3,5.7,2.3,0,0,16.9,11.5,5.8,3.9,1.5
Rio Grande,44.4,d_19601101,39.2,26.6,9.9,3.4,0.4,0,16.4,11.4,5.3,3.4,0.7
Rio Grande,46.8,d_19601201,27.9,16.6,2.2,0.4,0,0,25.2,15.9,8.1,4.9,2.2
Rio Grande,43.9,d_19610101,21.5,12.2,2,0.8,0.3,0,34.6,20.7,10.5,7.1,3.7
Rio Grande,39.6,d_19610201,20.4,12.7,3.4,1.2,0.4,0,40,26,12.6,8.5,4.8
Rio Grande,36.5,d_19610301,20.8,10.2,2,0.1,0,0,42.6,28.2,13.2,8.8,4.8
Rio Grande,59.1,d_19610401,23.2,11.2,0.6,0,0,0,17.6,8.6,2.5,0.9,0
Rio Grande,75.9,d_19610501,13,2.4,0,0,0,0,11,3.7,0,0,0
Rio Grande,51.6,d_19610601,0.8,0,0,0,0,0,47.7,25.7,5.5,0.9,0
Rio Grande,39.4,d_19610701,36.5,16.6,1.7,0,0,0,24.1,12.3,2.8,0.5,0
Rio Grande,51.9,d_19610801,20.9,9.4,0,0,0,0,27.2,14.3,2.2,0.2,0
Rio Grande,52.2,d_19610901,35.1,21.8,7.3,2.1,0,0,12.6,2.3,0.1,0,0
Rio Grande,43.5,d_19611001,45.5,31.7,14.3,8.1,2.7,0,10.9,5.6,0.9,0.1,0
Rio Grande,57.3,d_19611101,26.7,17.4,5.3,0.9,0,0,16,8,1.7,0.1,0
Rio Grande,54.7,d_19611201,28.6,19,7.8,2.6,0,0,16.7,6.7,0.4,0,0
Rio Grande,52.8,d_19620101,27.8,18,4.6,0,0,0,19.5,7.6,0.3,0,0
Rio Grande,50,d_19620201,26.2,14.9,4.3,1.3,0,0,23.8,12.9,0.9,0.1,0
Rio Grande,43.5,d_19620301,38.4,24.9,5.6,0.5,0,0,18,10,1.1,0.1,0
Rio Grande,37.9,d_19620401,40,27,6.8,0.5,0,0,22.1,10.5,0.5,0,0
Rio Grande,32.7,d_19620501,57,36.3,9.2,2.2,0.4,0,10.3,4,0,0,0
Rio Grande,39.3,d_19620601,55.6,30.7,4.3,0.7,0,0,5.1,1.7,0,0,0
Rio Grande,34.1,d_19620701,38.5,26.2,7.7,2.5,0.2,0,27.2,20.3,8.8,2.4,0.8
Rio Grande,30.4,d_19620801,64.8,55.2,35.2,20.5,7.3,0,4.8,1.7,0.1,0,0
Rio Grande,37,d_19620901,49.2,38.7,20.5,9.5,4.1,0,13.8,5.3,0.8,0,0
Rio Grande,39.7,d_19621001,49.8,35.7,14.6,7.8,2.8,0,10.3,3.9,0.7,0,0
Rio Grande,43.3,d_19621101,44.2,29.6,8,3.3,0.9,0,12.6,4.8,0.9,0.2,0
Rio Grande,45.7,d_19621201,39.4,23.3,8.6,4,1.3,0,14.9,6.6,1.1,0.3,0
Rio Grande,45.9,d_19630101,40.7,25.3,7.1,3.2,0.1,0,13.5,5.4,0.7,0,0
Rio Grande,56.9,d_19630201,21.9,7.5,0.4,0,0,0,21.1,11.1,1.4,0.2,0
Rio Grande,57.9,d_19630301,23.7,12.3,2.2,0.7,0,0,18.4,8.9,1.2,0.4,0
Rio Grande,56.4,d_19630401,40.9,18.1,0.9,0,0,0,2.6,0,0,0,0
Rio Grande,67.1,d_19630501,9.2,2.5,0,0,0,0,23.7,9,0,0,0
Rio Grande,57.3,d_19630601,36.6,14.1,2.4,0.2,0,0,6.1,0.7,0,0,0
Rio Grande,39.6,d_19630701,58.8,41.6,14,4.8,0.6,0,1.6,0.3,0,0,0
Rio Grande,48.6,d_19630801,44.8,25.6,4.6,1.8,0.1,0,6.6,2,0.4,0,0
Rio Grande,45.3,d_19630901,52.7,30.9,3.6,1.1,0.1,0,2,1,0,0,0
Rio Grande,44.1,d_19631001,53.9,33.8,6.2,1.6,0.2,0,2,0.9,0,0,0
Rio Grande,38.7,d_19631101,58.8,37.6,12,3.7,0.8,0,2.3,0.8,0,0,0
Rio Grande,37.2,d_19631201,60.2,41.6,15.4,6.9,1.7,0,2.7,0.3,0,0,0
